Tag No.,Equipment / Document Title,Serial No.,Cal. Freq,First Calibration,Last Calibration,Next Calibration,Status,Owner,Location,Type of Calibration,Remark
B479,Digital Multimeter CD772 SANWA,23015009701,1,09-Aug-2024,25-Jun-2026,25-Jun-2027,Due >30d,Agus R /Tika,IPI MCX,External Calibration,
B475,BLOCK  GAUGE SET INSIZE (1~100mm) (47 PCS/SET),4100-247,1,14-Aug-2024,03-Jul-2026,03-Jul-2027,Due >30d,Sartika,IPI MCX,External Calibration,
B234,BLOCK GAGE 3mm,8023,1,10-Feb-2012,03-Jul-2026,03-Jul-2027,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,
B235,BLOCK GAGE 11mm,8030,1,02-Oct-2012,03-Jul-2026,03-Jul-2027,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,
B329,SHIMADZU ELECTRONIC WEIGHING SCALE (MODEL: BL-220H) (0~220g),D455008359,1,16-Apr-2015,04-Jul-2026,04-Jul-2027,Due >30d,Trinil,IPI Packing WH,External Calibration,
B442,Weighing Scale CAS SW-1A (50g~30kg),210253796,1,06-Oct-2021,04-Jul-2026,04-Jul-2027,Due >30d,Khudri,IPI CONN MHF RECE,External Calibration,
B357,SHIMADZU ELECTRONIC BALANCE (UX6200H)(0.5g~6500g),D446841609,1,22-Jan-2021,04-Jul-2026,04-Jul-2027,Due >30d,Yueflin,IPI INJECTION PROD,External Calibration,
B443,Weighing Scale CAS SW-1A (50g~30kg),210253741,1,06-Oct-2021,04-Jul-2026,04-Jul-2027,Due >30d,Khudri,IPI CONN CABLINE,External Calibration,
B127,Digital Thermo-Hygrometer  RS 212-124,RS212-124,1,11-Dec-2012,07-Jul-2026,07-Jul-2027,Due >30d,Feti,IPI QA,External Calibration,
B476,Thermo hygrometer Thermopro,NA,1,16-Aug-2024,07-Jul-2026,07-Jul-2027,Due >30d,Agus R,IPI MCX-SI Room,External Calibration,
B477,Thermo hygrometer Thermopro,NA,1,13-Aug-2024,07-Jul-2026,07-Jul-2027,Due >30d,Agus R,IPI MCX-SI Room,External Calibration,
B441,Length check jig,NA,1,11-Oct-2021,08-Jul-2026,08-Jul-2027,Due >30d,Sarmadi,IPI QC WH,External Calibration,"IATF,CLARION"
B238,CAMBER JIG,N.A.,1,10-Apr-2012,18-Jul-2026,18-Jul-2027,Due >30d,Dian,IPI IQC,External Calibration,
B321,SHIMADZU ELECTRONIC WEIGHING SCALE (MODEL: BL-220H) (0~220g),D455008368,1,03-Apr-2014,18-Jul-2026,18-Jul-2027,Due >30d,Trinil,IPI Packing WH,External Calibration,
B330,SHIMADZU ELECTRONIC WEIGHING SCALE (MODEL: BL-220H) (0~220g),D455008361,1,16-Apr-2015,18-Jul-2026,18-Jul-2027,Due >30d,Trinil,IPI Packing WH,External Calibration,IATF
B320,SHIMADZU ELECTRONIC WEIGHING SCALE (MODEL: BL-220H) (0~220g),D455008358,1,03-Apr-2014,18-Jul-2026,18-Jul-2027,Due >30d,Trinil,IPI Packing WH,External Calibration,
B319,DAI-ICHI THERMO-HYGROMETER (0~50?C / 20~99%),NA,1,25-May-2015,22-Jul-2026,22-Jul-2027,Due >30d,Khudri,IPI CABLINE 29,External Calibration,
B16,Aikoh Push Pull Gauge Model : AN-100 (0~10kgf),1100094,1,01-Jun-2012,22-Jul-2026,22-Jul-2027,Due >30d,Tika,IPI WH PROD,External Calibration,
B553,Thermo hygrometer Thermopro,47509,1,22-Jul-2026,22-Jul-2026,22-Jul-2027,Due >30d,Heru,IPI INJECTION,External Calibration,
B554,Thermo hygrometer Thermopro,47488,1,22-Jul-2026,22-Jul-2026,22-Jul-2027,Due >30d,Heru,IPI INJECTION,External Calibration,
B555,Thermo hygrometer Thermopro,47510,1,22-Jul-2026,22-Jul-2026,22-Jul-2027,Due >30d,Heru,IPI INJECTION,External Calibration,
B556,Thermo hygrometer Thermopro,47507,1,22-Jul-2026,22-Jul-2026,22-Jul-2027,Due >30d,Heru,IPI INJECTION,External Calibration,
B97,DIGIMATIC BLADE MICROMETER (0 ~ 25mm),45134099,1,14-Feb-2014,27-Jul-2026,27-Jul-2027,Due >30d,Marfa/Yus,IPI QC QUARANTINE,Internal Verification,
